date,,timestamp,open,high,low,close,volume,test,date,time,vwap
2021-04-13,128,2021-04-13 13:40:00+05:30,708.4,712.5,708.1,709.3,365186,0,2021-04-13,13:40:00+05:30,722.7986506574937
2021-04-13,129,2021-04-13 13:45:00+05:30,709.0,714.0,708.95,713.3,394367,0,2021-04-13,13:45:00+05:30,722.7001069682943
2021-04-13,130,2021-04-13 13:50:00+05:30,713.35,715.15,711.6,713.8,512112,0,2021-04-13,13:50:00+05:30,722.5817987893392
2021-04-13,131,2021-04-13 13:55:00+05:30,714.5,717.3,713.95,715.4,604908,0,2021-04-13,13:55:00+05:30,722.4707762860012
2021-04-13,132,2021-04-13 14:00:00+05:30,715.05,716.0,709.0,711.2,557037,0,2021-04-13,14:00:00+05:30,722.312583191201
2021-04-13,133,2021-04-13 14:05:00+05:30,711.3,714.45,710.0,713.45,355111,0,2021-04-13,14:05:00+05:30,722.2339862898988
2021-04-13,134,2021-04-13 14:10:00+05:30,712.95,724.0,712.95,721.25,1480631,0,2021-04-13,14:10:00+05:30,722.1988991576992
2021-04-13,135,2021-04-13 14:15:00+05:30,721.25,723.5,719.0,720.85,992623,0,2021-04-13,14:15:00+05:30,722.1674060176329
2021-04-13,136,2021-04-13 14:20:00+05:30,720.8,728.45,720.0,725.95,1053908,0,2021-04-13,14:20:00+05:30,722.2589037269062
2021-04-13,137,2021-04-13 14:25:00+05:30,726.35,729.5,725.1,727.35,746600,0,2021-04-13,14:25:00+05:30,722.344674262919
2021-04-13,138,2021-04-13 14:30:00+05:30,727.5,733.75,727.45,732.45,1192941,0,2021-04-13,14:30:00+05:30,722.6095681593032
2021-04-13,139,2021-04-13 14:35:00+05:30,732.6,732.85,724.0,724.5,920977,0,2021-04-13,14:35:00+05:30,722.6470664353707
2021-04-13,140,2021-04-13 14:40:00+05:30,724.3,725.6,722.1,723.85,551777,0,2021-04-13,14:40:00+05:30,722.6611942820446
2021-04-13,141,2021-04-13 14:45:00+05:30,723.85,727.7,722.0,726.9,488814,0,2021-04-13,14:45:00+05:30,722.7048421146052
2021-04-13,142,2021-04-13 14:50:00+05:30,726.55,728.2,724.4,727.15,620325,0,2021-04-13,14:50:00+05:30,722.7621802541966
2021-04-13,143,2021-04-13 14:55:00+05:30,727.05,731.85,726.25,729.75,701168,0,2021-04-13,14:55:00+05:30,722.8625989512843
2021-04-13,144,2021-04-13 15:00:00+05:30,730.0,731.45,726.7,728.25,588757,0,2021-04-13,15:00:00+05:30,722.9268317840072
2021-04-13,145,2021-04-13 15:05:00+05:30,728.6,730.0,727.1,730.0,526373,0,2021-04-13,15:05:00+05:30,723.0014327463205
2021-04-13,146,2021-04-13 15:10:00+05:30,729.95,732.0,729.0,732.0,736472,0,2021-04-13,15:10:00+05:30,723.1322920070144
2021-04-13,147,2021-04-13 15:15:00+05:30,732.0,732.5,731.0,731.75,808949,0,2021-04-13,15:15:00+05:30,723.2677814496351
2021-04-13,148,2021-04-13 15:20:00+05:30,731.75,734.9,731.5,733.3,800394,0,2021-04-13,15:20:00+05:30,723.421451592932
2021-04-13,149,2021-04-13 15:25:00+05:30,733.25,733.35,731.0,733.1,499033,0,2021-04-13,15:25:00+05:30,723.5130104174353
2021-04-15,150,2021-04-15 09:15:00+05:30,735.9,748.9,726.35,744.65,1693915,0,2021-04-15,09:15:00+05:30,744.65
2021-04-15,151,2021-04-15 09:20:00+05:30,744.65,751.0,743.8,749.15,991917,0,2021-04-15,09:20:00+05:30,746.3119157490119
2021-04-15,152,2021-04-15 09:25:00+05:30,749.45,749.45,743.55,748.25,604374,0,2021-04-15,09:25:00+05:30,746.6679201241503
2021-04-15,153,2021-04-15 09:30:00+05:30,748.4,750.0,743.0,743.3,590364,0,2021-04-15,09:30:00+05:30,746.1555472520789
2021-04-15,154,2021-04-15 09:35:00+05:30,742.9,743.35,736.35,736.6,981108,0,2021-04-15,09:35:00+05:30,744.2271957953612
2021-04-15,155,2021-04-15 09:40:00+05:30,736.6,743.8,735.0,741.5,620635,0,2021-04-15,09:40:00+05:30,743.9184587417757
2021-04-15,156,2021-04-15 09:45:00+05:30,741.2,742.8,737.5,739.4,389541,0,2021-04-15,09:45:00+05:30,743.618702491581
2021-04-15,157,2021-04-15 09:50:00+05:30,739.05,741.9,738.3,740.15,255466,0,2021-04-15,09:50:00+05:30,743.4740820782985
2021-04-15,158,2021-04-15 09:55:00+05:30,739.95,744.5,739.6,742.5,386474,0,2021-04-15,09:55:00+05:30,743.4162882031577
2021-04-15,159,2021-04-15 10:00:00+05:30,742.45,744.5,740.0,740.8,335796,0,2021-04-15,10:00:00+05:30,743.2880266410106
2021-04-15,160,2021-04-15 10:05:00+05:30,740.35,740.45,737.0,737.25,428336,0,2021-04-15,10:05:00+05:30,742.9326638385716
2021-04-15,161,2021-04-15 10:10:00+05:30,737.0,738.45,735.05,736.45,419283,0,2021-04-15,10:10:00+05:30,742.5795396422261
2021-04-15,162,2021-04-15 10:15:00+05:30,736.45,738.0,733.5,733.8,443867,0,2021-04-15,10:15:00+05:30,742.1008623860041
2021-04-15,163,2021-04-15 10:20:00+05:30,734.15,734.55,731.3,731.6,429598,0,2021-04-15,10:20:00+05:30,741.5745152773283
2021-04-15,164,2021-04-15 10:25:00+05:30,731.5,735.0,729.0,729.95,430689,0,2021-04-15,10:25:00+05:30,741.0183160816869
2021-04-15,165,2021-04-15 10:30:00+05:30,729.65,730.4,725.0,728.2,651730,0,2021-04-15,10:30:00+05:30,740.1528855777108
2021-04-15,166,2021-04-15 10:35:00+05:30,728.55,734.5,728.4,733.0,422802,0,2021-04-15,10:35:00+05:30,739.8527381140832
2021-04-15,167,2021-04-15 10:40:00+05:30,733.05,734.35,730.35,734.35,265807,0,2021-04-15,10:40:00+05:30,739.7113043046493
2021-04-15,168,2021-04-15 10:45:00+05:30,734.35,737.0,733.5,733.85,348447,0,2021-04-15,10:45:00+05:30,739.5202542172237
2021-04-15,169,2021-04-15 10:50:00+05:30,733.3,733.65,730.3,732.05,298509,0,2021-04-15,10:50:00+05:30,739.3173233301101
2021-04-15,170,2021-04-15 10:55:00+05:30,732.05,734.8,732.0,732.85,108643,0,2021-04-15,10:55:00+05:30,739.2540079880685
2021-04-15,171,2021-04-15 11:00:00+05:30,732.75,732.9,728.7,731.3,317220,0,2021-04-15,11:00:00+05:30,739.0329588162307
2021-04-15,172,2021-04-15 11:05:00+05:30,731.2,732.0,728.7,729.7,167939,0,2021-04-15,11:05:00+05:30,738.8976362879735
2021-04-15,173,2021-04-15 11:10:00+05:30,729.65,730.8,727.15,729.35,240769,0,2021-04-15,11:10:00+05:30,738.7032076051306
2021-04-15,174,2021-04-15 11:15:00+05:30,729.35,731.95,728.0,731.7,165855,0,2021-04-15,11:15:00+05:30,738.6063263924084
2021-04-15,175,2021-04-15 11:20:00+05:30,731.55,732.55,729.0,730.45,171326,0,2021-04-15,11:20:00+05:30,738.4914132623819
2021-04-15,176,2021-04-15 11:25:00+05:30,730.65,731.35,728.5,730.45,122433,0,2021-04-15,11:25:00+05:30,738.4112580124978
2021-04-15,177,2021-04-15 11:30:00+05:30,730.1,732.6,728.0,731.75,198874,0,2021-04-15,11:30:00+05:30,738.3051226926553
2021-04-15,178,2021-04-15 11:35:00+05:30,731.75,734.0,731.0,733.55,254164,0,2021-04-15,11:35:00+05:30,738.21022694072
